"viewer_name","movie_name","viewer_rating"
"Nathasha","Inside Out 2","3.5"
"Nathasha","Deadpool & Wolverine","3.0"
"Nathasha","Wicked","4.5"
"Nathasha","Dune Part 2",NULL
"Nathasha","Quiet Place: Day 1","4.0"
"Nathasha","Kingdom of the Planet of Apes","3.5"
"Joseph","Inside Out 2",NULL
"Joseph","Deadpool & Wolverine","4.5"
"Joseph","Wicked",NULL
"Joseph","Dune Part 2","3.5"
"Joseph","Quiet Place: Day 1","3.0"
"Joseph","Kingdom of the Planet of Apes","3.5"
"Rosy","Inside Out 2","3.5"
"Rosy","Deadpool & Wolverine","3.5"
"Rosy","Wicked","3.5"
"Rosy","Dune Part 2","4.0"
"Rosy","Quiet Place: Day 1","3.0"
"Rosy","Kingdom of the Planet of Apes","4.0"
"Andrew","Inside Out 2","3.0"
"Andrew","Deadpool & Wolverine","4.5"
"Andrew","Wicked",NULL
"Andrew","Dune Part 2","4.5"
"Andrew","Quiet Place: Day 1","3.5"
"Andrew","Kingdom of the Planet of Apes","4.5"
"Julia","Inside Out 2","3.5"
"Julia","Deadpool & Wolverine","3.0"
"Julia","Wicked","3.5"
"Julia","Dune Part 2",NULL
"Julia","Quiet Place: Day 1","4.5"
"Julia","Kingdom of the Planet of Apes","3.0"
"Kazi","Inside Out 2","4.5"
"Kazi","Deadpool & Wolverine","3.0"
"Kazi","Wicked","3.0"
"Kazi","Dune Part 2","3.0"
"Kazi","Quiet Place: Day 1","3.5"
"Kazi","Kingdom of the Planet of Apes","3.5"
"Badri","Inside Out 2","3.2"
"Badri","Deadpool & Wolverine","4.0"
"Badri","Wicked",NULL
"Badri","Dune Part 2","3.8"
"Badri","Quiet Place: Day 1","3.2"
"Badri","Kingdom of the Planet of Apes","3.9"
"Rafiya","Inside Out 2","4.0"
"Rafiya","Deadpool & Wolverine",NULL
"Rafiya","Wicked","4.2"
"Rafiya","Dune Part 2",NULL
"Rafiya","Quiet Place: Day 1","3.2"
"Rafiya","Kingdom of the Planet of Apes","3.6"
"Thomas","Inside Out 2",NULL
"Thomas","Deadpool & Wolverine","3.8"
"Thomas","Wicked",NULL
"Thomas","Dune Part 2","3.5"
"Thomas","Quiet Place: Day 1","4.0"
"Thomas","Kingdom of the Planet of Apes","3.6"
"Benjamin","Inside Out 2","3.7"
"Benjamin","Deadpool & Wolverine","3.7"
"Benjamin","Wicked","3.5"
"Benjamin","Dune Part 2","3.8"
"Benjamin","Quiet Place: Day 1","3.7"
"Benjamin","Kingdom of the Planet of Apes","3.9"
